reporting_event_number,report_id,event_start_date,approval_status,precinct,beat,crime_description_1,victim_age_1,subject_age_1,subject_ethnicity_1,victim_ethnicity_1,subject_gender_1,victim_gender_1,subject_race_1,victim_race_1,narrative
22946444396,62109,12/19/2022 16:36,UCR Approved,Southwest,F3,Narcotics Activity Report (NAR),-1,-1,-,-,-,-,-,-,-
20141012471,64285,11/28/2020 16:46,UCR Approved,West,M3,RCW - 9A.52.080 | CRIMINAL TRESPASS 2,-1,47,Not Hispanic Or Latino,-,Male,-,White,-,-
19556517614,65474,5/20/2021 16:31,UCR Approved,South,S2,RCW - 9A.46.110.5A | STALKING,21,50,-,-,Male,Female,White,White,-
17631980081,68041,12/17/2022 11:35,UCR Approved,West,K3,Narcotics Activity Report (NAR),-1,-1,-,-,-,-,-,-,-
19909690917,68205,1/2/2020 15:37,UCR Approved,East,C2,RCW - 9A.56.065 | THEFT OF MOTOR VEHICLE,28,-1,-,Not Hispanic Or Latino,-,Female,-,White,-
17245429506,69797,1/2/2020 16:40,UCR Approved,East,G1,SMC - 12A.08.020 | PROPERTY DESTRUCTION (1ST DEGREE) - NON RESIDENTIAL,-1,-1,-,-,-,-,-,-,-
18857298004,71008,5/18/2021 16:41,UCR Approved,West,K1,RCW - 9A.46.110.5A | STALKING,46,41,-,Unknown,Female,Female,White,White,-
18021907663,71052,1/2/2020 15:57,UCR Approved,South,S1,RCW - 9A.48.080 | MALICIOUS MISCHIEF 2,-1,-1,-,-,Female,-,White,-,-
25844685514,75438,1/2/2020 15:10,UCR Approved,North,L2,SMC - 12A.08.060 | THEFT-OTH,-1,-1,-,-,-,-,-,-,-
20159757507,81095,1/2/2020 14:45,UCR Approved,East,C3,Crisis,-1,57,Unknown,-,Male,-,Black or African American,-,-
19256149704,82910,11/22/2020 13:08,UCR Approved,West,M1,RCW - 9A.52.080 | CRIMINAL TRESPASS 2,-1,34,Unknown,-,Male,-,White,-,-
24093466683,84894,9/9/2022 15:42,UCR Approved,South,O2,Crisis,-1,-1,-,-,Unknown,-,White,-,-
19133977968,86813,1/2/2020 15:09,UCR Approved,East,C2,Disturbance-Family-No Crime,-1,29,Not Hispanic Or Latino,-,Male,-,White,-,-
24007018001,87395,8/27/2022 8:21,UCR Approved,West,M1,RCW - 9A.46.040 | VIO HARASSMENT NO CONTACT ORDER,24,29,Not Hispanic Or Latino,Unknown,Male,Female,Asian,White,-
22388062114,90277,1/2/2020 16:04,UCR Approved,North,U3,SMC - 12A.08.060 | THEFT-MAIL,29,-1,-,-,-,Female,-,Unknown,-
20581899588,90861,1/2/2020 13:08,UCR Approved,West,D1,RCW - 9A.48.080 | MALICIOUS MISCHIEF 2,-1,-1,-,-,-,-,-,-,-
25482569793,95715,1/2/2020 15:26,UCR Approved,West,K1,RCW - 9A.44.079 | RAPE OF CHILD 3RD DEGREE,15,-1,-,-,Male,Female,Unknown,Unknown,-
28569590450,97682,1/2/2020 16:33,UCR Approved,North,B1,SMC - 12A.08.060 | THEFT-OTH,-1,-1,-,-,-,-,-,-,-
57648610058,101791,1/2/2020 15:36,UCR Approved,South,S2,Disturbance-Other,-1,42,Not Hispanic Or Latino,-,Female,-,Black or African American,-,-
64365269698,104854,1/2/2020 15:45,UCR Approved,West,K3,RCW - 9A.36.021 | ASSAULT - ASSAULT 2,58,-1,Unknown,Not Hispanic Or Latino,Male,Male,Unknown,Black or African American,-
54009772604,105787,1/2/2020 15:12,UCR Approved,East,E2,Offense Contains Bias Elements -- CRIME,72,-1,Unknown,Unknown,Male,Male,Unknown,White,-
57424142497,106648,1/2/2020 15:39,UCR Approved,West,Q2,RCW - 9A.56.065 | THEFT OF MOTOR VEHICLE,27,-1,Unknown,Unknown,Unknown,Female,Unknown,White,-
12229170468,49,6/10/2022 9:17,UCR Approved,West,M2,"RCW - 9A.56.050 | THEFT 3, ALL OTHER LARCENY",47,45,-,-,Male,Female,Unknown,White, A business owner on 345 Willow Lane reported a break-in at their establishment Cash and merchandise were stolen from the premises The investigation is ongoing
19834398756,83073,3/8/2020 12:37,UCR Approved,South,S2,SMC - 12A.08.120 | VEHICLE PROWLING,-1,-1,-,-,-,-,-,-," A business owner on 567 Elm Street reported a series of vehicle prowling incidents in the company parking lot Employees discovered that their cars had been tampered with, and items like tools and personal effects were missing Security measures are being reviewed, and additional patrols are being deployed to deter further incidents A business owner on 567 Elm Street reported a series of vehicle prowling incidents in the company parking lot Employees discovered that their cars had been tampered with, and items like tools and personal effects were missing Security measures are being reviewed, and additional patrols are being deployed to deter further incidents"
60501916825,99286,6/30/2020 14:46,UCR Approved,North,U3,RCW - 9A.56.065 | THEFT OF MOTOR VEHICLE,30,-1,Unknown,Not Hispanic Or Latino,Unknown,Female,Unknown,White," A business owner on 789 Cherry Lane reported a commercial vehicle stolen from their company's parking lot The stolen vehicle, a white Ford Transit van with company logos, was last seen parked overnight"
61087751215,99317,11/13/2021 15:04,UCR Approved,West,Q1,RCW - 9A.56.065 | THEFT OF MOTOR VEHICLE,41,-1,Unknown,Unknown,Unknown,Male,Unknown,White, A car rental agency on 567 Oak Street reported several high-end vehicles missing from their lot The manager suspects foul play and is cooperating with authorities in the investigation
58744218859,99388,5/17/2021 13:45,UCR Approved,Southwest,F1,RCW - 9A.56.065 | THEFT OF MOTOR VEHICLE,55,-1,Unknown,Unknown,Unknown,Male,Unknown,Unknown," A construction company reported several work trucks stolen from their job site on 789 Birch Lane The vehicles, loaded with equipment, were taken overnight The company is offering a reward for information leading to their recovery"
58211305437,99275,12/21/2020 15:49,UCR Approved,Southwest,F1,RCW - 9A.56.065 | THEFT OF MOTOR VEHICLE,57,-1,Unknown,Unknown,Unknown,Male,Unknown,Unknown," A delivery driver reported their delivery van stolen while making a stop on 456 Cedar Street The vehicle, a white Ford Transit, was left unattended for a brief moment when it was taken Authorities are reviewing surveillance footage"
12170848854,91,3/23/2020 13:55,UCR Approved,East,E2,Traffic incident not collision,-1,40,Hispanic Or Latino,-,Male,-,White,-, A disturbance was reported at a downtown bar on 456 Walnut Street Officers arrived to find a patron causing a disturbance and refusing to leave The individual was arrested for disorderly conduct
12200956668,42,7/29/2021 10:43,UCR Approved,Southwest,F2,RCW - 9A.36.041 | ASSAULT - ASSAULT 4,23,23,Not Hispanic Or Latino,Not Hispanic Or Latino,Female,Male,Black or African American,Black or African American," A disturbance was reported at a local bar on 789 Cherry Street Upon arrival, officers found a group of patrons involved in a verbal altercation They were escorted off the premises without further incident"
12203823762,44,9/1/2020 11:56,UCR Approved,North,L1,Disturbance-Family-No Crime,-1,25,Hispanic Or Latino,-,Female,-,White,-," A fire broke out at an apartment complex on 567 Birch Lane All residents were safely evacuated, and firefighters contained the blaze before it spread to neighboring units The cause of the fire is under investigation"
12160253798,88,1/1/2021 16:27,UCR Approved,North,B1,SMC - - 12A.06.187 |INTERFERING WITH REPORTING DOMESTIC VIOLENCE,45,-1,-,-,-,Female,-,White, A group of teenagers was caught trespassing in a restricted area of the local park after hours They were issued warnings and escorted out of the park by officers
12204177944,36,4/29/2022 10:12,UCR Approved,West,D2,Crisis,-1,22,Unknown,-,Male,-,White,-," A hit-and-run accident occurred at the intersection of Main Street and Broadway The victim reported that their parked car was struck by another vehicle, which then fled the scene No injuries were reported"
12171250229,101,10/7/2022 16:12,UCR Approved,East,E1,Suspicious Circumstance,-1,39,Unknown,-,Male,-,White,-," A hit-and-run accident was reported on 567 Elm Avenue The victim stated their parked car was struck by another vehicle, which fled the scene Witnesses provided a description of the suspect vehicle"
62747468187,108344,5/11/2020 9:05,UCR Approved,North,L3,RCW - 9A.52.030 | BURGLARY 2,-1,-1,Unknown,-,Unknown,-,Unknown,-, A homeowner on 123 Elm Street reported a burglary at their residence The victim stated that their home was broken into while they were away on vacation Jewelry and electronics were stolen from the premises Detectives are examining evidence collected from the scene
63834440392,108502,6/27/2022 8:28,UCR Approved,West,K3,RCW - 9A.52.030 | BURGLARY 2,40,40,Not Hispanic Or Latino,Unknown,Male,Female,Black or African American,White, A homeowner on 456 Birch Avenue reported a burglary in which their home was ransacked and valuables were stolen Detectives are working to determine if the incident is connected to other recent burglaries in the area
12190622056,37,2/20/2022 11:19,UCR Approved,North,U2,RCW - 9A.36.041 | ASSAULT - ASSAULT 4,31,-1,-,Unknown,-,Male,-,Black or African American, A missing person report was filed for a teenager who failed to return home from school The last known location was near the local park Search efforts are underway
26736903381,95007,1/1/2020 15:31,UCR Approved,North,B3,Crisis,-1,51,Unknown,-,Male,-,White,-, A parent reported their child missing after not returning home from school An investigation was launched to locate the missing individual
15106019241,24776,1/1/2020 12:57,UCR Approved,North,J2,SMC - 12A.08.020 | PROPERTY DESTRUCTION,30,-1,-,-,-,Female,-,White," A pedestrian reported being harassed by a group of individuals while walking home The suspects fled the scene before officers arrived, but descriptions were provided for further investigation"
12167800207,46,7/28/2022 10:58,UCR Approved,East,E2,Disturbance-Other,-1,45,-,-,Male,-,-,-, A pedestrian was struck by a vehicle while crossing the street at the intersection of Oak and Pine The victim sustained minor injuries and was transported to the hospital for treatment The driver remained at the scene
56653763353,99273,9/12/2022 13:02,UCR Approved,North,U1,RCW - 9A.56.065 | THEFT OF MOTOR VEHICLE,27,-1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown, A rental car agency on 123 Maple Drive reported several vehicles missing from their inventory The manager discovered discrepancies during inventory checks and believes the cars were stolen over the past week
12208919359,105,7/27/2020 8:06,UCR Approved,East,G1,RCW - 26.50.110 | VIOLATION OF NO CONTACT/PROTECTION/RESTRAINING/FOREIGN PROTECTION ORDER,31,35,Unknown,-,Male,Female,Black or African American,Black or African American, A report was filed regarding a missing pet from a residence on 234 Pine Lane The owner stated their dog went missing from the backyard overnight Flyers were distributed in the neighborhood
12234882223,96,4/1/2021 10:03,UCR Approved,West,K3,RCW - 9A.36.041 | ASSAULT - ASSAULT 4,-1,61,Not Hispanic Or Latino,-,Male,Female,Black or African American,Black or African American, A report was filed regarding a package theft from the front porch of a residence on 234 Cherry Lane Surveillance footage showed an individual taking the package and leaving the scene The investigation is ongoing
12194949764,32,9/1/2020 10:55,UCR Approved,West,Q3,RCW - 9.41.040.1A | FIREARM POSS UNLAWFUL 1,-1,37,-,-,Male,-,Black or African American,-," A report was filed regarding a stolen vehicle from the parking lot of a local supermarket The victim stated that their car was taken between the hours of 2:00 PM and 4:00 PM on May 17th, 2024 The investigation is ongoing"
12157517551,47,6/21/2022 14:42,UCR Approved,North,B2,Disturbance-Family-No Crime,-1,29,-,-,Male,-,White,-, A resident of 123 Maple Court reported a suspicious individual lurking around their property late at night Officers conducted a search of the area but found no one matching the description
56071668635,108505,11/29/2020 14:35,UCR Approved,East,G2,RCW - 9A.52.030 | BURGLARY 2,40,-1,Unknown,Not Hispanic Or Latino,Unknown,Male,Unknown,Asian," A resident of 123 Maple Drive reported a burglary at their apartment complex The victim stated that their unit was broken into, and electronics and personal documents were stolen Security footage from the building is being reviewed for possible suspects"
58476372378,99328,8/29/2020 10:16,UCR Approved,North,N3,RCW - 9A.56.065 | THEFT OF MOTOR VEHICLE,25,-1,Unknown,Unknown,Unknown,Male,Unknown,Unknown," A resident of 123 Pine Drive reported their electric scooter stolen from their front porch The victim stated that the scooter, which was locked up, was taken sometime during the day"
12248185307,107,8/1/2022 14:17,UCR Approved,South,R3,Disturbance-Family-No Crime,-1,20,Unknown,-,Male,-,Unknown,-, A resident of 123 Spruce Drive reported a suspicious person loitering near their property Officers conducted a search of the area but
64593195396,99254,1/24/2021 11:54,UCR Approved,South,R1,RCW - 9A.56.065 | THEFT OF MOTOR VEHICLE,41,-1,Unknown,Not Hispanic Or Latino,Unknown,Female,Unknown,White," A resident of 234 Elm Street reported their car stolen from their driveway overnight The vehicle, a silver Honda Civic, was last seen parked at 10:00 PM on May 25th, 2024 The investigation is ongoing"
12237970973,100,6/18/2022 16:05,UCR Approved,North,B3,RCW - 9A.52.030 | BURGLARY 2,-1,-1,-,-,-,-,-,-, A resident of 234 Maple Court reported a suspicious vehicle parked outside their home for an extended period Officers conducted a welfare check and found the occupant was lost and seeking directions
12179212199,39,10/8/2022 15:03,UCR Approved,North,J2,SMC - 11.56.020 | PRSN UNDER THE INFLUENCE OF INTOXICANTS/DRUGS,-1,24,-,-,Male,-,White,-, A resident of 321 Cedar Lane reported a burglary at their home The suspect gained entry through a rear window and stole valuable electronics Detectives are investigating
12234720833,103,6/1/2020 13:36,UCR Approved,South,R3,RCW - 9A.48.070 | MALICIOUS MISCHIEF 1,52,56,-,Unknown,Male,Female,Black or African American,Black or African American," A resident of 456 Birch Drive reported a case of fraud after discovering unauthorized charges on their bank account The incident was reported to the bank, and a fraud investigation is underway"
12163396333,98,6/6/2020 8:13,UCR Approved,East,E3,Disturbance-Other,-1,-1,-,-,-,-,-,-, A resident of 456 Pine Drive reported a case of vandalism to their property The victim discovered graffiti spray-painted on their garage door overnight The incident is under investigation
60982372056,99311,7/11/2021 14:34,UCR Approved,North,B3,RCW - 9A.56.065 | THEFT OF MOTOR VEHICLE,21,-1,Unknown,Unknown,Unknown,Female,Unknown,Unknown, A resident of 456 Walnut Drive reported their classic car stolen from their garage The victim stated that their vintage Ford Mustang was taken sometime between 9:00 PM and 7:00 AM Detectives are following up on leads
58412582214,99278,5/8/2021 10:32,UCR Approved,North,N3,RCW - 9A.56.065 | THEFT OF MOTOR VEHICLE,60,-1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown, A resident of 567 Birch Lane reported their pickup truck stolen from their driveway The victim stated that their red Chevrolet Silverado was taken sometime during the night The incident is under investigation
12139065172,89,8/18/2022 16:16,UCR Approved,Southwest,W3,SMC - 12A.08.060 | THEFT-SHOPLIFT,-1,49,-,-,Male,-,White,-," A resident of 567 Oak Street reported a case of identity theft after discovering unauthorized charges on their credit card statement The incident was reported to the bank, and a fraud investigation is underway"
12238989982,94,12/1/2021 12:46,UCR Approved,North,N2,RCW - 9A.52.080 | CRIMINAL TRESPASS 2,74,34,Not Hispanic Or Latino,-,Male,Female,Black or African American,Black or African American, A resident of 567 Willow Court reported a case of stalking by an ex-partner The victim stated they had been receiving threatening messages and unwanted visits A restraining order was filed
61252563418,99350,2/8/2020 8:28,UCR Approved,North,N1,RCW - 9A.56.065 | THEFT OF MOTOR VEHICLE,46,-1,Unknown,Not Hispanic Or Latino,Unknown,Female,Unknown,White," A resident of 567 Willow Street reported their recreational vehicle (RV) stolen from a storage facility The victim stated that their motorhome, a Winnebago, was taken sometime over the past week"
12163164044,92,4/2/2021 16:59,UCR Approved,North,J1,RCW - 9A.36.041 | ASSAULT - ASSAULT 4,21,28,Unknown,Unknown,Male,Female,White,Asian, A resident of 789 Birch Drive reported a suspicious package left on their doorstep Officers inspected the package and deemed it safe It was later discovered to be a delivery mistakenly left at the wrong address
